Date,Open,High,Low,Close,Adj Close,Volume
2013-04-05,141.000000,148.649994,140.949997,144.750000,137.360260,1133976
2013-04-08,145.199997,146.899994,143.100006,144.050003,136.695984,588531
2013-04-09,144.850006,147.649994,144.100006,145.300003,137.882172,511288
2013-04-10,146.000000,152.500000,142.199997,151.300003,143.575882,2267790
2013-04-11,152.149994,154.399994,148.550003,149.300003,141.677963,1334386
2013-04-12,149.000000,153.500000,146.750000,148.500000,140.918793,832927
2013-04-15,147.300003,148.399994,142.899994,145.399994,137.977066,988564
2013-04-16,145.000000,147.300003,143.550003,146.199997,138.736221,789507
2013-04-17,147.100006,147.500000,140.399994,141.000000,133.801666,1224412
2013-04-18,141.750000,146.500000,140.800003,145.250000,137.834717,1433603
2013-04-22,144.000000,152.800003,140.699997,150.350006,142.674347,1690739
2013-04-23,150.000000,151.000000,145.500000,147.300003,139.780075,1160058
2013-04-25,146.500000,148.100006,141.750000,145.500000,138.071976,2246425
2013-04-26,144.000000,146.199997,143.250000,144.850006,137.455139,877991
2013-04-29,143.000000,147.500000,143.000000,145.399994,137.977066,415488
2013-04-30,146.000000,146.699997,143.149994,145.000000,137.597473,892336
2013-05-02,145.000000,149.000000,144.149994,146.300003,138.831131,1253183
2013-05-03,150.000000,158.800003,148.100006,155.550003,147.608902,3167410
2013-05-06,156.350006,156.649994,151.250000,152.449997,144.667114,1465010
2013-05-07,152.550003,153.300003,147.300003,150.350006,142.674347,1713111
2013-05-08,151.000000,155.350006,150.000000,154.399994,146.517578,1288174
2013-05-09,154.550003,154.750000,150.350006,151.550003,143.813110,1362727
2013-05-10,152.000000,152.500000,150.000000,150.949997,143.243698,1444269
2013-05-13,149.300003,153.850006,149.300003,150.350006,142.674347,878208
2013-05-14,150.399994,151.699997,148.800003,149.949997,142.294769,440169
2013-05-15,150.699997,153.500000,149.699997,152.500000,144.714600,1562040
2013-05-16,157.000000,167.350006,154.399994,162.000000,153.729614,8280624
2013-05-17,163.050003,169.000000,163.050003,168.250000,159.660553,9076436
2013-05-20,169.699997,175.000000,166.899994,167.600006,159.043701,7727111
2013-05-21,167.600006,168.000000,160.000000,160.649994,152.448517,3803039
2013-05-22,160.800003,161.800003,153.250000,154.649994,146.754822,2243155
2013-05-23,154.000000,158.949997,150.550003,152.449997,144.667114,2104757
2013-05-24,153.250000,158.199997,150.300003,156.649994,148.652740,1502462
2013-05-27,157.699997,160.149994,153.000000,158.000000,149.933807,3890085
2013-05-28,158.649994,159.750000,156.100006,157.850006,149.791458,2825798
2013-05-29,157.000000,157.949997,151.100006,153.500000,145.663559,1839294
2013-05-30,152.000000,156.199997,151.600006,154.649994,146.754822,2440279
2013-05-31,154.699997,155.449997,150.050003,152.050003,144.287567,2175273
2013-06-03,151.000000,154.649994,149.550003,153.550003,145.710999,2987578
2013-06-04,153.000000,156.500000,153.000000,155.350006,147.419083,3938790
2013-06-05,154.100006,155.449997,149.149994,154.550003,146.659927,2291669
2013-06-06,153.800003,155.449997,152.000000,152.500000,144.714600,1270646
2013-06-07,152.000000,153.800003,150.000000,152.050003,144.287567,1577506
2013-06-10,152.199997,160.350006,150.300003,150.800003,143.101379,4320732
2013-06-11,150.399994,153.300003,145.750000,148.300003,140.729004,2191377
2013-06-12,147.199997,147.800003,141.800003,144.149994,136.790863,2083999
2013-06-13,142.000000,144.300003,136.399994,143.300003,135.984283,3768898
2013-06-14,143.899994,149.899994,143.800003,148.600006,141.013718,1702926
2013-06-17,149.000000,151.000000,145.250000,150.000000,142.342239,1738706
2013-06-18,150.800003,155.000000,149.449997,153.949997,146.090561,1791207
2013-06-19,153.350006,154.500000,148.300003,150.350006,142.674347,1074287
2013-06-20,149.899994,151.399994,146.850006,148.899994,141.298370,3201936
2013-06-21,147.000000,152.600006,146.800003,151.449997,143.718185,4669085
2013-06-24,152.000000,152.000000,147.750000,150.750000,143.053940,907117
2013-06-25,150.750000,151.000000,143.949997,145.000000,137.597473,557666
2013-06-26,146.399994,150.000000,143.000000,147.800003,140.254547,974214
2013-06-27,148.699997,150.000000,147.149994,149.750000,142.104980,3226254
2013-06-28,151.949997,152.449997,148.300003,150.300003,142.626907,2214838
2013-07-01,150.899994,153.300003,149.850006,151.550003,143.813110,1196393
2013-07-02,151.199997,154.800003,149.399994,150.050003,142.389679,949423
2013-07-03,150.000000,150.850006,148.000000,149.149994,141.535599,492114
2013-07-04,149.500000,150.949997,148.050003,148.899994,141.298370,457355
2013-07-05,149.199997,151.300003,147.350006,148.399994,140.823898,1000475
2013-07-08,147.000000,150.699997,146.500000,149.199997,141.583054,480067
2013-07-09,149.500000,150.750000,148.350006,149.300003,141.677963,1168035
2013-07-10,149.300003,152.449997,149.000000,149.250000,141.630524,764498
2013-07-11,150.149994,151.800003,149.399994,150.000000,142.342239,1400737
2013-07-12,150.050003,153.899994,149.500000,151.850006,144.097794,1328772
2013-07-15,152.000000,152.750000,148.550003,149.300003,141.677963,1112743
2013-07-16,147.000000,150.699997,146.449997,148.600006,141.013718,1281108
2013-07-17,147.000000,148.399994,144.399994,146.699997,139.210693,2430167
